Christian's original order, 1.024, 0.00489898, 5.243, 2, 25000
Original paper order, 1.036, 0.00489898, 5.3666, 2, 25000
Best manual effort order, 1.026, 0.00489898, 5.2635, 2, 25000
Expensive order, 2.004, 0.010198, 20.0806, 2, 25000
Christian's original order, 10.002, 0.0132665, 500.201, 47, 225000
Original paper order, 10.054, 0.010198, 505.415, 47, 225000
Best manual effort order, 9.97, 0.0126491, 497.005, 47, 225000
Expensive order, 19.034, 0.032619, 1811.47, 47, 225000
Christian's original order, 18.866, 0.0162481, 1779.63, 72, 425000
Original paper order, 19.002, 0.0222711, 1805.38, 72, 425000
Best manual effort order, 18.878, 0.0116619, 1781.9, 72, 425000
Expensive order, 36.562, 0.0172047, 6683.9, 72, 425000
Christian's original order, 28.144, 0.0195959, 3960.43, 103, 625000
Original paper order, 28.274, 0.008, 3997.1, 103, 625000
Best manual effort order, 28.074, 0.010198, 3940.75, 103, 625000
Expensive order, 52.316, 0.0361109, 13684.8, 103, 625000
Christian's original order, 36.73, 0.0404969, 6745.47, 139, 825000
Original paper order, 36.904, 0.0241661, 6809.53, 139, 825000
Best manual effort order, 36.692, 0.0222711, 6731.52, 139, 825000
Expensive order, 68.936, 0.0382623, 23760.9, 139, 825000
Christian's original order, 45.384, 0.0215407, 10298.5, 187, 1025000
Original paper order, 45.63, 0.0296648, 10410.5, 187, 1025000
Best manual effort order, 45.336, 0.0344093, 10276.8, 187, 1025000
Expensive order, 86.558, 0.0604649, 37461.5, 187, 1025000
