NUMBER.NUMBER.PLUS->NUMBER, 1.7045277357637E-006, 2.91959192074685E-011, 1.19067706617407E-007, 
NUMBER.NUMBER.TIMES->NUMBER, 1.62768839322573E-006, 2.65849469784881E-011, 9.55258729719119E-008, 
NUMBER.NUMBER.ATAN2->REAL, 2.02765991974294E-006, 4.14085747848423E-011, 1.7161797211327E-007, 
NUMBER.NUMBER.PT->REAL, 1.75977732533006E-006, 3.10934916510307E-011, 1.11950571044771E-007, 
NUMBER.ABS->NUMBER, 1.38550979339336E-006, 1.92387436381949E-011, 6.50920596584968E-008, 
NUMBER.SQRT_POS->REAL, 1.64785691186026E-006, 2.72131291652277E-011, 7.66845131505091E-008, 
NUMBER.LOG->REAL, 1.76940938773777E-006, 3.14682217418851E-011, 1.26540873926068E-007, 
NUMBER.CEILING->INTEGER, 1.66634908178894E-006, 2.78747318973111E-011, 1.03701144411606E-007, 
NUMBER.COS->REAL, 1.67415569562274E-006, 2.81159192660352E-011, 9.37797068530817E-008, 
NUMBER.NUMBER.NUMBER.MAGNITUDE->REAL, 1.96572877911094E-006, 3.87190473026684E-011, 8.84030386460223E-008, 
NUMBER.NUMBER.NUMBER.ETA->REAL, 2.1353059717316E-006, 4.57052970728472E-011, 1.04871895053374E-007, 
VECTOR.INTEGER.VREF->OBJECT, 1.425007890397E-006, 2.0384455133751E-011, 8.83064305777356E-008, 
VECTOR.VECTOR.TIMES->NUMBER, 1.75998630857757E-006, 3.11732198620623E-011, 1.40606471493028E-007, 
VECTOR-NUMBER.VECTOR-NUMBER.PLUS->VECTOR-NUMBER, 2.06580367603988E-006, 4.28166896598619E-011, 1.18845016918224E-007, 
VECTOR.VECTOR.EFFECTIVEMASS->REAL, 2.7707162412208E-006, 7.70438083816004E-011, 1.65868468357727E-007, 
VECTOR.MOD->REAL, 1.61996572575781E-006, 2.63414710014264E-011, 9.92882042973923E-008, 
CONSTRUCT-VECTORC, 1.62613446802873E-006, 2.65459273351089E-011, 1.01387501201069E-007, 
SIMPLE FUNCTION, 1.26611775051085E-006, 1.60778460855047E-011, 6.8778269764558E-008, 
OBJECT.OBJECT.<=->BOOLEAN, 1.39878367749439E-006, 1.96384550327441E-011, 8.51453278206761E-008, 
OBJECT.OBJECT.>=->BOOLEAN, 1.33439736527021E-006, 1.78301172003114E-011, 4.89427378786025E-008, 
OBJECT.OBJECT.<->BOOLEAN, 1.35079629521828E-006, 1.83113507076303E-011, 8.05260180787001E-008, 
OBJECT.OBJECT.>->BOOLEAN, 1.2690757828069E-006, 1.61418095953285E-011, 6.02297021900545E-008, 
OBJECT.OBJECT.!=->BOOLEAN, 1.35309616746319E-006, 1.83594213357162E-011, 7.12242596875925E-008, 
OBJECT.TYPESOF->TYPE BB, 1.39750607178681E-006, 1.97105221604089E-011, 1.34272094494261E-007, 
BAG-VECTOR.SUM->VECTOR-NUMBER 2 elements, 3.38722019674947E-006, 1.14889660564916E-010, 1.2532116830009E-007, 
BAG-VECTOR.SUM->VECTOR-NUMBER 4 elements, 3.96198944501789E-006, 1.57631990078862E-010, 2.56590423541106E-007, 
