NUMBER.NUMBER.PLUS->NUMBER, 4.8388347163287E-06, 2.34154411754563E-10, 3.34628676059072E-08, 
NUMBER.NUMBER.TIMES->NUMBER, 4.79193458695981E-06, 2.29629792543098E-10, 1.8497800088609E-08, 
NUMBER.NUMBER.ATAN2->REAL, 5.31243069908197E-06, 2.94896824885557E-10, 1.12594962409833E-06, 
NUMBER.NUMBER.PT->REAL, 4.87751253148344E-06, 2.37904623420981E-10, 1.82714892703085E-08, 
NUMBER.NUMBER.MODULO->REAL, 4.92286780585857E-06, 2.42347444927163E-10, 1.08193695565676E-08, 
NUMBER.ABS->NUMBER, 4.4458955186376E-06, 1.97660698327441E-10, 9.10330172107901E-09, 
NUMBER.SQRT_POS->REAL, 4.70292638393655E-06, 2.21176333516664E-10, 1.0806430487343E-08, 
NUMBER.LOG->REAL, 4.77077515378506E-06, 2.27602981689794E-10, 1.61276362466858E-09, 
NUMBER.CEILING->INTEGER, 4.71671909304938E-06, 2.22475544959932E-10, 1.07467788971458E-08, 
NUMBER.COS->REAL, 4.75342404057424E-06, 2.25951769440546E-10, 1.16976299074488E-08, 
NUMBER.NUMBER.NUMBER.MAGNITUDE->REAL, 5.13284976963199E-06, 2.63467755323783E-10, 2.50753816950764E-08, 
NUMBER.NUMBER.NUMBER.ETA->REAL, 5.26760157683077E-06, 2.77476941781476E-10, 8.23443486977809E-09, 
NUMBER.NUMBER.NUMBER.PLUS->NUMBER, 4.92247963197844E-06, 2.42309982674656E-10, 1.38758863867817E-08, 
OBJECT.OBJECT.OBJECT.NOT_IN->BOOLEAN, 4.93718868015012E-06, 2.43759490699983E-10, 1.08169587156978E-08, 
NUMBER.NUMBER.NUMBER.NUMBER.EFFECTIVEMASS->REAL, 5.68974395591226E-06, 3.23732594321148E-10, 8.55267646526911E-09, 
OBJECT.OBJECT.OBJECT.OBJECT.NOT_IN->BOOLEAN, 5.18886252157498E-06, 2.69243900812704E-10, 9.78843526746352E-09, 
CHARSTRING.UPPER->CHARSTRING, 5.26224313138771E-06, 2.7691370593005E-10, 1.29545037668722E-08, 
VECTOR.INTEGER.VREF->OBJECT bbf, 4.75557270276072E-06, 2.26156667276791E-10, 1.39641124379263E-08, 
VECTOR.VECTOR.TIMES->NUMBER, 4.93463058169415E-06, 2.43506452789696E-10, 8.142553556971E-09, 
VECTOR.VECTOR.PLUS->VECTOR, 5.85693176161978E-06, 3.43048594187255E-10, 3.47815821213915E-08, 
VECTOR.VECTOR.VECTOR.PLUS->VECTOR, 6.18786923326495E-06, 3.8290493564006E-10, 2.77112976788285E-08, 
OBJECT.VECTOR.NOT_IN->BOOLEAN, 4.88413755368171E-06, 2.38550941215644E-10, 1.71603694743933E-08, 
VECTOR.VECTOR.EFFECTIVEMASS->REAL, 5.38823156575355E-06, 2.90337869334656E-10, 2.73409451664155E-08, 
VECTOR.MOD->REAL, 4.78066537803986E-06, 2.28548638831551E-10, 1.01205911945752E-08, 
CONSTRUCT-VECTORC, 4.42885827614457E-06, 1.96149434598015E-10, 1.25630261967048E-08, 
SIMPLE FUNCTION, 4.3842895930413E-06, 1.9222122359901E-10, 1.1274939055494E-08, 
OBJECT.OBJECT.<=->BOOLEAN, 4.53522767500054E-06, 2.05690724024041E-10, 2.79703112825185E-08, 
OBJECT.OBJECT.>=->BOOLEAN, 4.39738491179247E-06, 1.93371741777111E-10, 1.34207023316687E-08, 
OBJECT.OBJECT.<->BOOLEAN, 4.49295475473968E-06, 2.01869098897696E-10, 1.63542542372422E-08, 
OBJECT.OBJECT.>->BOOLEAN, 4.43685343622314E-06, 1.96857467722304E-10, 8.85198877556439E-09, 
OBJECT.OBJECT.!=->BOOLEAN, 4.51100998687349E-06, 2.03497301666834E-10, 2.27829982891013E-08, 
OBJECT.OBJECT.=->BOOLEAN, 4.56703238791748E-06, 2.08579355906464E-10, 1.22783695648898E-08, 
OBJECT.TYPESOF->TYPE BB, 4.63066075175917E-06, 2.14433405462888E-10, 1.79317708546594E-08, 
BAG-VECTOR.SUM->VECTOR-NUMBER 2 elements, 6.12220423834604E-06, 3.74815078399494E-10, 1.10952209158904E-08, 
BAG-VECTOR.SUM->VECTOR-NUMBER 4 elements, 6.62905279717752E-06, 4.39448780221974E-10, 2.3174003329176E-08, 
BAG-NUMBER.SUM->NUMBER 4 elements, 5.23978699107301E-06, 2.74557638060244E-10, 1.99021156283545E-08, 
BAG-NUMBER.SUM->NUMBER 2 elements, 4.86828157281709E-06, 2.370052069906E-10, 1.88474621509192E-08, 
BAG.COUNT->INTEGER 2 elements, 4.79822521808179E-06, 2.30230635408242E-10, 9.91450393005273E-09, 
BAG.COUNT->INTEGER 4 elements, 5.07958164320188E-06, 2.58034282334256E-10, 3.57570059158681E-08, 
