H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5126
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:42:35
H,SpiderTimeZone,+1
H,SpiderUpTime,131
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776124
H,DriftTimeP3,25776124
H,DriftTimeP4,25776124
H,LogStartTime,2012-05-11 11:40:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DATALOSS,0.00,1
L,DATALOSS,0.00,3
L,EMOTOR2,0.00,1
L,EMOTOR3,0.00,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,22.96
L,REG404,0.00,38.64
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.00
L,REG408,0.00,27.15
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG403,0.20,21.92
L,REG405,0.40,-0.08
L,REG405,0.50,0.20
L,W1_019,0.60,1
L,REG405,0.60,-0.08
L,REG403,0.70,22.96
L,REG405,0.70,0.20
L,REG403,0.80,21.92
L,REG405,0.80,-0.08
L,REG405,0.90,0.20
L,REG405,1.20,-0.08
L,REG405,1.30,0.20
L,REG403,1.60,22.96
L,REG403,1.70,21.92
L,REG405,1.70,-0.08
L,REG403,1.80,22.96
L,REG405,1.80,0.20
L,REG403,1.90,21.92
L,REG405,2.00,-0.08
L,REG405,2.20,0.20
L,REG405,2.30,-0.08
L,REG405,2.40,0.20
L,REG404,2.60,38.38
L,REG405,2.60,-0.08
L,REG404,2.70,38.64
L,REG405,2.70,0.20
L,REG407,3.20,0.04
L,REG407,3.30,0.00
L,REG403,3.50,22.96
L,REG405,3.50,-0.08
L,REG403,3.60,21.92
L,REG407,3.60,0.04
L,REG405,3.70,0.20
L,REG407,3.70,0.00
L,REG403,3.80,22.96
L,REG405,3.80,-0.08
L,REG403,3.90,21.92
L,REG405,3.90,0.20
L,REG403,4.00,22.96
L,REG403,4.10,21.92
L,REG405,4.20,-0.08
L,REG405,4.30,0.20
L,REG404,4.40,38.38
L,REG404,4.50,38.64
L,REG404,4.60,38.38
L,REG405,4.60,-0.08
L,REG403,4.70,22.96
L,REG404,4.70,38.64
L,REG405,4.70,0.20
L,REG403,4.80,21.92
L,REG405,4.80,-0.08
L,REG403,4.90,22.96
L,REG405,4.90,0.20
L,REG403,5.00,21.92
L,REG403,5.20,22.96
L,REG405,5.20,-0.08
L,REG405,5.30,0.20
L,REG407,5.30,0.04
L,REG403,5.40,21.92
L,REG407,5.40,0.00
L,REG403,5.50,22.96
L,REG405,5.50,-0.08
L,REG403,5.60,21.92
L,REG405,5.60,0.20
L,REG403,5.70,22.96
L,REG407,5.70,0.08
L,REG408,5.70,26.89
L,REG403,5.80,21.92
L,REG408,5.80,27.15
L,REG405,5.90,-0.08
L,REG407,5.90,0.12
L,REG404,6.00,38.38
L,REG405,6.00,0.20
L,REG407,6.00,0.04
L,REG404,6.10,38.64
L,REG405,6.20,-0.08
L,REG407,6.40,0.00
L,REG405,6.50,0.20
L,REG405,6.70,-0.08
L,REG407,6.70,0.12
L,REG404,6.90,38.38
L,REG405,6.90,0.20
L,REG407,6.90,0.08
L,REG404,7.00,38.64
L,REG407,7.00,0.04
L,REG407,7.10,0.00
L,REG405,7.20,-0.08
L,REG405,7.30,0.20
L,REG403,7.50,22.96
L,REG405,7.50,-0.08
L,REG407,7.50,0.04
L,REG404,7.60,38.38
L,REG405,7.60,0.20
L,REG407,7.60,0.08
L,REG403,7.70,21.92
L,REG407,7.70,0.12
L,REG403,7.80,22.96
L,REG407,7.80,0.24
L,REG403,7.90,21.92
L,REG404,7.90,38.64
L,REG407,7.90,0.16
L,REG403,8.00,22.96
L,REG408,8.00,26.89
L,REG407,8.10,0.08
L,REG408,8.10,27.15
L,REG403,8.20,21.92
L,REG404,8.20,38.38
L,REG403,8.30,22.96
L,REG404,8.30,38.64
L,REG407,8.30,0.00
L,REG405,8.40,-0.08
L,REG405,8.50,0.20
L,REG403,8.60,21.92
L,REG405,8.60,-0.08
L,REG407,8.70,0.16
L,REG405,8.90,0.20
L,REG407,8.90,0.20
L,REG408,8.90,26.89
L,REG404,9.00,38.38
L,REG407,9.00,0.12
L,REG408,9.00,27.15
L,REG407,9.10,0.04
L,REG407,9.20,0.00
L,REG403,9.40,22.96
L,REG405,9.40,-0.08
L,REG404,9.50,38.64
L,REG405,9.50,0.20
L,REG405,9.70,-0.08
L,REG403,9.80,21.92
L,REG404,9.80,38.38
L,REG405,9.80,0.20
L,REG404,9.90,38.64
L,REG407,10.00,0.08
L,REG403,10.10,22.96
L,REG404,10.10,38.38
L,REG403,10.20,21.92
L,REG407,10.20,0.04
L,REG408,10.20,26.89
L,REG404,10.30,38.64
L,REG405,10.30,-0.08
L,REG407,10.30,0.08
L,REG408,10.30,27.15
L,REG403,10.40,22.96
L,REG404,10.40,38.38
L,REG405,10.40,0.20
L,REG407,10.40,0.12
L,REG404,10.50,38.64
L,REG407,10.50,0.08
L,REG404,10.60,38.38
L,REG407,10.60,0.04
L,REG408,10.60,26.89
L,REG404,10.70,38.64
L,REG405,10.70,-0.08
L,REG407,10.70,0.00
L,REG403,10.80,21.92
L,REG405,10.80,0.20
L,REG408,10.80,27.15
L,REG404,10.90,38.38
L,REG405,10.90,-0.08
L,REG405,11.00,0.20
L,REG404,11.10,38.64
L,REG408,11.20,26.89
L,REG403,11.30,22.96
L,REG405,11.30,-0.08
L,REG408,11.30,27.15
L,REG403,11.40,21.92
L,REG404,11.40,38.38
L,REG405,11.40,0.20
L,REG404,11.50,38.64
L,REG405,11.50,-0.08
L,REG407,11.50,0.08
L,REG408,11.50,26.89
L,REG404,11.60,38.38
L,REG405,11.60,0.20
L,REG408,11.60,27.15
L,REG407,11.70,0.16
L,REG403,11.80,22.96
L,REG405,11.80,-0.08
L,REG403,11.90,21.92
L,REG407,12.00,0.12
L,REG403,12.10,22.96
L,REG405,12.10,0.20
L,REG407,12.10,0.04
L,REG403,12.20,21.92
L,REG408,12.20,26.89
L,REG404,12.30,38.64
L,REG405,12.30,-0.08
L,REG407,12.30,0.12
L,REG403,12.40,22.96
L,REG404,12.40,38.38
L,REG405,12.40,0.20
L,REG407,12.40,0.16
L,REG408,12.40,27.15
L,REG403,12.50,21.92
L,REG405,12.50,-0.08
L,REG407,12.50,0.12
L,REG405,12.60,0.20
L,REG407,12.60,0.00
L,REG407,12.80,0.04
L,REG407,12.90,0.12
L,REG403,13.00,22.96
L,REG407,13.00,0.20
L,REG403,13.10,21.92
L,REG405,13.10,-0.08
L,REG407,13.10,0.08
L,REG405,13.20,0.20
L,REG407,13.20,0.00
L,REG403,13.30,22.96
L,REG404,13.30,38.64
L,REG404,13.40,38.38
L,REG408,13.40,26.89
L,REG408,13.50,27.15
L,REG403,13.60,21.92
L,REG405,13.60,-0.08
L,REG405,13.70,0.20
L,REG403,13.80,22.96
L,REG404,13.80,38.64
L,REG405,13.80,-0.08
L,REG403,13.90,21.92
L,REG404,13.90,38.38
L,REG405,13.90,0.20
L,REG407,13.90,0.04
L,REG407,14.00,0.00
L,REG403,14.10,22.96
L,REG403,14.30,21.92
L,REG408,14.40,26.89
L,REG405,14.50,-0.08
L,REG408,14.50,27.15
L,REG405,14.60,0.20
L,REG407,14.70,0.04
L,REG405,14.80,-0.08
L,REG407,14.80,0.00
L,REG405,14.90,0.20
L,REG405,15.10,-0.08
L,REG408,15.10,26.89
L,REG405,15.20,0.20
L,REG408,15.20,27.15
L,REG403,15.40,22.96
L,REG408,15.50,26.89
L,REG403,15.60,21.92
L,REG405,15.60,-0.08
L,REG408,15.60,27.15
L,REG405,15.80,0.20
L,REG408,16.10,26.89
L,REG408,16.20,27.15
L,REG407,16.30,0.08
L,REG408,16.30,26.89
L,REG403,16.40,22.96
L,REG405,16.40,-0.08
L,REG407,16.40,0.00
L,REG408,16.40,27.15
L,REG405,16.50,0.20
L,REG403,16.60,21.92
L,REG405,16.70,-0.08
L,REG407,16.70,0.04
L,REG404,16.80,38.64
L,REG407,16.80,0.08
L,REG404,16.90,38.38
L,REG405,16.90,0.20
L,REG407,16.90,0.04
L,REG405,17.00,-0.08
L,REG408,17.00,26.89
L,REG405,17.10,0.20
L,REG407,17.10,0.00
L,REG408,17.10,27.15
L,REG408,17.20,26.89
L,REG408,17.40,27.15
L,REG403,17.50,22.96
L,REG403,17.60,21.92
L,REG407,17.60,0.04
L,REG408,17.60,26.89
L,REG407,17.70,0.00
L,REG408,17.70,27.15
L,REG403,17.80,22.96
L,REG403,17.90,21.92
L,REG403,18.00,22.96
L,REG407,18.00,0.08
L,REG408,18.00,26.89
L,REG408,18.10,27.15
L,REG403,18.20,21.92
L,REG408,18.20,26.89
L,REG407,18.30,0.00
L,REG408,18.30,27.15
L,REG407,18.50,0.12
L,REG407,18.60,0.20
L,REG408,18.60,26.89
L,REG407,18.70,0.16
L,REG408,18.70,27.15
L,REG407,18.80,0.28
L,REG403,19.00,22.96
L,REG405,19.00,-0.08
L,REG407,19.00,0.24
L,REG408,19.00,26.89
L,REG405,19.10,0.20
L,REG407,19.10,0.32
L,REG408,19.10,27.15
L,REG403,19.20,21.92
L,REG407,19.20,0.36
L,REG405,19.30,-0.08
L,REG407,19.30,0.24
L,REG408,19.30,26.89
L,REG405,19.40,0.20
L,REG403,19.50,22.96
L,REG407,19.50,0.20
L,REG408,19.50,27.15
L,REG407,19.60,0.24
L,REG408,19.60,26.89
L,REG403,19.70,21.92
L,REG407,19.70,0.32
L,REG403,19.80,22.96
L,REG405,19.90,-0.08
L,REG407,19.90,0.24
L,REG405,20.00,0.20
L,REG403,20.10,21.92
L,REG407,20.10,0.36
L,REG408,20.10,27.15
L,REG403,20.20,22.96
L,REG405,20.20,-0.08
L,REG407,20.20,0.48
L,REG408,20.20,26.89
L,REG403,20.30,21.92
L,REG405,20.30,0.20
L,REG407,20.30,0.44
L,REG407,20.40,0.28
L,REG408,20.40,27.15
L,REG403,20.50,22.96
L,REG405,20.50,-0.08
L,REG407,20.50,0.20
L,REG403,20.60,21.92
L,REG407,20.60,0.16
L,REG408,20.60,26.89
L,REG405,20.70,0.20
L,REG408,20.70,27.15
L,REG407,20.80,0.08
L,REG408,20.80,26.89
L,REG407,20.90,0.04
L,REG408,20.90,27.15
L,REG407,21.00,0.00
L,REG408,21.00,26.89
L,REG408,21.10,27.15
L,REG405,21.20,-0.08
L,REG407,21.20,0.08
L,REG408,21.20,26.89
L,REG405,21.30,0.20
L,REG407,21.40,0.16
L,REG405,21.50,-0.08
L,REG407,21.50,0.24
L,REG408,21.50,27.15
L,REG405,21.60,0.20
L,REG407,21.60,0.12
L,REG408,21.60,26.89
L,REG407,21.70,0.00
L,REG407,21.80,0.04
L,REG403,21.90,22.96
L,REG407,21.90,0.00
L,REG405,22.00,-0.08
L,REG408,22.00,27.15
L,REG403,22.10,21.92
L,REG405,22.10,0.20
L,REG403,22.20,22.96
L,REG407,22.30,0.08
L,REG408,22.30,26.89
L,REG403,22.40,21.92
L,REG407,22.40,0.04
L,REG407,22.50,0.16
L,REG408,22.50,27.15
L,REG403,22.60,22.96
L,REG407,22.60,0.28
L,REG408,22.60,26.89
L,REG403,22.70,21.92
L,REG407,22.70,0.20
L,REG408,22.70,27.15
L,REG403,22.80,22.96
L,REG405,22.80,-0.08
L,REG407,22.80,0.08
L,REG403,22.90,21.92
L,REG405,22.90,0.20
L,REG408,22.90,26.89
L,REG403,23.00,22.96
L,REG407,23.10,0.04
L,REG403,23.20,21.92
L,REG407,23.20,0.00
L,REG408,23.20,27.15
L,REG407,23.30,0.04
L,REG408,23.30,26.89
L,REG403,23.40,22.96
L,REG407,23.40,0.00
L,REG403,23.50,21.92
